333 - 12.612613% | Entry #1
528 - 7.9545455% | Entries #8549-8867
529 - 7.9395084% | Entries #8868-9178
530 - 7.9245286% | Entries #9179-9531
531 - 7.909604% | Entries #9532-9876
532 - 7.8947363% | Entries #9877-10226
533 - 7.879925% | Entries #10227-10597
534 - 7.865169% | Entries #10598-10980
535 - 7.850467% | Entries #10981-11364
536 - 7.835821% | Entries #11365-11757
537 - 7.821229% | Entries #11758-12159
538 - 7.8066916% | Entries #12160-12605
539 - 7.7922077% | Entries #12606-13043
540 - 7.777778% | Entries #13044-13482
541 - 7.7634015% | Entries #13483-13932
542 - 7.749078% | Entries #13933-14395
543 - 7.734807% | Entries #14396-14880
544 - 7.720588% | Entries #14881-15368
545 - 7.7064223% | Entries #15369-15853
546 - 7.692308% | Entries #15854-16433
547 - 7.678245% | Entries #16434-16972
548 - 7.664233% | Entries #16973-17525
549 - 7.6502733% | Entries #17526-18073
550 - 7.636364% | Entries #18074-18655
551 - 7.622504% | Entries #18656-19286
552 - 7.6086955% | Entries #19287-19892
553 - 7.5949364% | Entries #19893-20531
554 - 7.5812273% | Entries #20532-21149
555 - 7.5675673% | Entries #21150-21844
556 - 7.5539565% | Entries #21845-22553
557 - 7.5403953% | Entries #22554-23260
558 - 7.526882% | Entries #23261-24003
559 - 7.513417% | Entries #24004-24723
560 - 7.5000005% | Entries #24724-25467
561 - 7.486631% | Entries #25468-26273
562 - 7.4733095% | Entries #26274-27096
563 - 7.4600353% | Entries #27097-27891
564 - 7.4468083% | Entries #27892-28778
565 - 7.433628% | Entries #28779-29658
566 - 7.4204946% | Entries #29659-30522
567 - 7.4074073% | Entries #30523-31449
568 - 7.394366% | Entries #31450-32352
569 - 7.3813705% | Entries #32353-33293
570 - 7.3684206% | Entries #33294-34317
571 - 7.3555164% | Entries #34318-35383
572 - 7.3426576% | Entries #35384-36459
573 - 7.329843% | Entries #36460-37622
574 - 7.317073% | Entries #37623-38770
575 - 7.304348% | Entries #38771-39924
576 - 7.2916665% | Entries #39925-41074
577 - 7.2790294% | Entries #41075-42243
578 - 7.2664356% | Entries #42244-43508
579 - 7.253886% | Entries #43509-44781
580 - 7.2413793% | Entries #44782-46023
581 - 7.228915% | Entries #46024-47383
582 - 7.2164946% | Entries #47384-48792
583 - 7.204117% | Entries #48793-50218
584 - 7.191781% | Entries #50219-51698
585 - 7.1794877% | Entries #51699-53129
586 - 7.167236% | Entries #53130-54635
587 - 7.155026% | Entries #54636-56186
588 - 7.1428576% | Entries #56187-57758
589 - 7.13073% | Entries #57759-59331
590 - 7.1186438% | Entries #59332-61049
591 - 7.1065993% | Entries #61050-62779
592 - 7.094595% | Entries #62780-64506
593 - 7.0826306% | Entries #64507-66229
594 - 7.070707% | Entries #66230-68085
595 - 7.058824% | Entries #68086-69983
596 - 7.04698% | Entries #69984-71853
597 - 7.035176% | Entries #71854-73790
598 - 7.0234113% | Entries #73791-75820
599 - 7.0116863% | Entries #75821-77832
600 - 7% | Entries #77833-79857
601 - 6.988353% | Entries #79858-81959
602 - 6.9767447% | Entries #81960-84170
603 - 6.9651737% | Entries #84171-86344
604 - 6.9536424% | Entries #86345-88588
605 - 6.9421487% | Entries #88589-90928
606 - 6.930693% | Entries #90929-93251
607 - 6.9192753% | Entries #93252-95581
608 - 6.9078946% | Entries #95582-98027
609 - 6.8965516% | Entries #98028-100580
610 - 6.8852463% | Entries #100581-103156
611 - 6.873977% | Entries #103157-105738
612 - 6.8627453% | Entries #105739-108359
613 - 6.8515496% | Entries #108360-110994
614 - 6.8403907% | Entries #110995-113649
615 - 6.8292685% | Entries #113650-116455
616 - 6.818182% | Entries #116456-119327
617 - 6.8071313% | Entries #119328-122318
618 - 6.7961164% | Entries #122319-125264
619 - 6.785137% | Entries #125265-128431
620 - 6.774194% | Entries #128432-131596
621 - 6.7632847% | Entries #131597-134779
622 - 6.7524114% | Entries #134780-137890
623 - 6.741573% | Entries #137891-141239
624 - 6.7307696% | Entries #141240-144677
625 - 6.72% | Entries #144678-148131
626 - 6.7092648% | Entries #148132-151678
627 - 6.6985645% | Entries #151679-155179
628 - 6.687898% | Entries #155180-158806
629 - 6.6772656% | Entries #158807-162501
630 - 6.666667% | Entries #162502-166332
631 - 6.656101% | Entries #166333-170233
632 - 6.64557% | Entries #170234-174233
633 - 6.6350713% | Entries #174234-178276
634 - 6.6246057% | Entries #178277-182372
635 - 6.6141734% | Entries #182373-186616
636 - 6.6037736% | Entries #186617-190873
637 - 6.593407% | Entries #190874-195170
638 - 6.583072% | Entries #195171-199545
639 - 6.5727696% | Entries #199546-204064
640 - 6.5624995% | Entries #204065-208661
641 - 6.552262% | Entries #208662-213275
642 - 6.542056% | Entries #213276-217968
643 - 6.5318813% | Entries #217969-222698
644 - 6.521739% | Entries #222699-227710
645 - 6.5116277% | Entries #227711-232626
646 - 6.501548% | Entries #232627-237696
647 - 6.4914994% | Entries #237697-242896
648 - 6.4814816% | Entries #242897-248132
649 - 6.4714947% | Entries #248133-253477
650 - 6.4615383% | Entries #253478-258831
651 - 6.4516125% | Entries #258832-264300
652 - 6.4417176% | Entries #264301-269789
653 - 6.431853% | Entries #269790-275532
654 - 6.422018% | Entries #275533-281248
655 - 6.4122143% | Entries #281249-287047
656 - 6.402439% | Entries #287048-292934
657 - 6.3926945% | Entries #292935-299142
658 - 6.382979% | Entries #299143-305222
659 - 6.373293% | Entries #305223-311362
660 - 6.363636% | Entries #311363-317582
661 - 6.354009% | Entries #317583-323928
662 - 6.344411% | Entries #323929-330527
663 - 6.334842% | Entries #330528-337036
664 - 6.3253016% | Entries #337037-343933
665 - 6.315789% | Entries #343934-350861
666 - 6.3063064% | Entries #350862-357783
667 - 6.2968516% | Entries #357784-364964
668 - 6.287425% | Entries #364965-372164
669 - 6.278027% | Entries #372165-379394
670 - 6.268657% | Entries #379395-386702
671 - 6.2593145% | Entries #386703-394369
672 - 6.25% | Entries #394370-402073
673 - 6.240713% | Entries #402074-409659
674 - 6.231454% | Entries #409660-417610
675 - 6.2222223% | Entries #417611-425719
676 - 6.213018% | Entries #425720-433775
677 - 6.2038403% | Entries #433776-442091
678 - 6.19469% | Entries #442092-450580
679 - 6.185567% | Entries #450581-459001
680 - 6.1764708% | Entries #459002-467769
681 - 6.167401% | Entries #467770-476486
682 - 6.1583576% | Entries #476487-485356
683 - 6.149341% | Entries #485357-494261
684 - 6.140351% | Entries #494262-503394
685 - 6.1313868% | Entries #503395-512607
686 - 6.122449% | Entries #512608-521812
687 - 6.113537% | Entries #521813-531229
688 - 6.104651% | Entries #531230-540861
689 - 6.095791% | Entries #540862-550481
690 - 6.0869565% | Entries #550482-560227
691 - 6.0781474% | Entries #560228-570212
692 - 6.069364% | Entries #570213-580392
693 - 6.060606% | Entries #580393-590591
694 - 6.051873% | Entries #590592-600973
695 - 6.0431657% | Entries #600974-611533
696 - 6.0344825% | Entries #611534-622350
697 - 6.025825% | Entries #622351-633188
698 - 6.017192% | Entries #633189-644081
699 - 6.0085835% | Entries #644082-655095
700 - 6% | Entries #655096-666073
701 - 5.991441% | Entries #666074-677209
702 - 5.982906% | Entries #677210-688645
703 - 5.9743958% | Entries #688646-700219
704 - 5.965909% | Entries #700220-712174
705 - 5.957447% | Entries #712175-723985
706 - 5.9490085% | Entries #723986-735952
707 - 5.940594% | Entries #735953-747928
708 - 5.9322033% | Entries #747929-760204
709 - 5.923836% | Entries #760205-772867
710 - 5.915493% | Entries #772868-785400
711 - 5.907173% | Entries #785401-798327
712 - 5.8988767% | Entries #798328-811047
713 - 5.890603% | Entries #811048-824013
714 - 5.882353% | Entries #824014-837396
715 - 5.874126% | Entries #837397-850609
716 - 5.865922% | Entries #850610-864176
717 - 5.857741% | Entries #864177-877856
718 - 5.849582% | Entries #877857-891599
719 - 5.8414464% | Entries #891600-905428
720 - 5.8333335% | Entries #905429-919238
721 - 5.825243% | Entries #919239-933316
722 - 5.8171744% | Entries #933317-947655
723 - 5.8091288% | Entries #947656-962004
724 - 5.801105% | Entries #962005-976580
725 - 5.7931037% | Entries #976581-991311
726 - 5.785124% | Entries #991312-1006120
727 - 5.7771664% | Entries #1006121-1021204
728 - 5.769231% | Entries #1021205-1036464
729 - 5.761317% | Entries #1036465-1051808
730 - 5.7534246% | Entries #1051809-1067193
731 - 5.745554% | Entries #1067194-1082843
732 - 5.7377048% | Entries #1082844-1098766
733 - 5.729877% | Entries #1098767-1114510
734 - 5.7220707% | Entries #1114511-1130621
735 - 5.714286% | Entries #1130622-1146766
736 - 5.706522% | Entries #1146767-1162891
737 - 5.6987786% | Entries #1162892-1179399
738 - 5.691057% | Entries #1179400-1196227
739 - 5.683356% | Entries #1196228-1212835
740 - 5.675676% | Entries #1212836-1230003
741 - 5.668016% | Entries #1230004-1246957
742 - 5.6603775% | Entries #1246958-1264132
743 - 5.652759% | Entries #1264133-1281679
744 - 5.645161% | Entries #1281680-1299420
745 - 5.6375837% | Entries #1299421-1317096
746 - 5.630027% | Entries #1317097-1334819
747 - 5.62249% | Entries #1334820-1352746
748 - 5.614973% | Entries #1352747-1370892
749 - 5.607476% | Entries #1370893-1389269
750 - 5.6000004% | Entries #1389270-1407632
751 - 5.592543% | Entries #1407633-1426287
752 - 5.5851064% | Entries #1426288-1444986
753 - 5.577689% | Entries #1444987-1463785
754 - 5.5702915% | Entries #1463786-1482919
755 - 5.562914% | Entries #1482920-1502281
756 - 5.555556% | Entries #1502282-1521551
757 - 5.548217% | Entries #1521552-1541276
758 - 5.540897% | Entries #1541277-1561072
759 - 5.533597% | Entries #1561073-1581278
760 - 5.5263157% | Entries #1581279-1601280
761 - 5.519054% | Entries #1601281-1621474
762 - 5.511811% | Entries #1621475-1641852
763 - 5.504587% | Entries #1641853-1662515
764 - 5.497382% | Entries #1662516-1683326
765 - 5.490196% | Entries #1683327-1704070
766 - 5.483029% | Entries #1704071-1724989
767 - 5.47588% | Entries #1724990-1745981
768 - 5.46875% | Entries #1745982-1767056
769 - 5.4616385% | Entries #1767057-1788380
770 - 5.4545455% | Entries #1788381-1809722
771 - 5.4474707% | Entries #1809723-1831301
772 - 5.4404144% | Entries #1831302-1852915
773 - 5.4333763% | Entries #1852916-1874871
774 - 5.426357% | Entries #1874872-1896919
775 - 5.419355% | Entries #1896920-1918747
776 - 5.412371% | Entries #1918748-1941029
777 - 5.4054055% | Entries #1941030-1963126
778 - 5.3984575% | Entries #1963127-1985679
779 - 5.3915277% | Entries #1985680-2008668
780 - 5.3846154% | Entries #2008669-2031535
781 - 5.377721% | Entries #2031536-2054534
782 - 5.3708444% | Entries #2054535-2077671
783 - 5.3639846% | Entries #2077672-2100922
784 - 5.357143% | Entries #2100923-2124224
785 - 5.3503184% | Entries #2124225-2147669
786 - 5.343511% | Entries #2147670-2171319
787 - 5.3367214% | Entries #2171320-2194984
788 - 5.3299494% | Entries #2194985-2218742
789 - 5.323194% | Entries #2218743-2242815
790 - 5.316456% | Entries #2242816-2267195
791 - 5.3097343% | Entries #2267196-2291895
792 - 5.3030305% | Entries #2291896-2316517
793 - 5.296343% | Entries #2316518-2341177
794 - 5.289673% | Entries #2341178-2365502
795 - 5.283019% | Entries #2365503-2390448
796 - 5.276382% | Entries #2390449-2415302
797 - 5.2697616% | Entries #2415303-2440354
798 - 5.263158% | Entries #2440355-2465573
799 - 5.256571% | Entries #2465574-2490887
800 - 5.25% | Entries #2490888-2516531
801 - 5.2434454% | Entries #2516532-2542121
802 - 5.2369075% | Entries #2542122-2567737
803 - 5.2303863% | Entries #2567738-2593563
804 - 5.223881% | Entries #2593564-2619749
805 - 5.217391% | Entries #2619750-2645829
806 - 5.2109184% | Entries #2645830-2671921
807 - 5.204461% | Entries #2671922-2698001
808 - 5.19802% | Entries #2698002-2724013
809 - 5.1915946% | Entries #2724014-2750437
810 - 5.185185% | Entries #2750438-2776969
811 - 5.1787915% | Entries #2776970-2803607
812 - 5.172414% | Entries #2803608-2830469
813 - 5.1660514% | Entries #2830470-2857270
814 - 5.159705% | Entries #2857271-2884043
815 - 5.153374% | Entries #2884044-2911003
816 - 5.147059% | Entries #2911004-2938153
817 - 5.140759% | Entries #2938154-2965198
818 - 5.1344743% | Entries #2965199-2992849
819 - 5.1282053% | Entries #2992850-3020283
820 - 5.121951% | Entries #3020284-3047877
821 - 5.1157126% | Entries #3047878-3075644
822 - 5.109489% | Entries #3075645-3103402
823 - 5.1032805% | Entries #3103403-3131211
824 - 5.0970874% | Entries #3131212-3159143
825 - 5.090909% | Entries #3159144-3187115
826 - 5.0847454% | Entries #3187116-3214845
827 - 5.0785975% | Entries #3214846-3243078
828 - 5.0724635% | Entries #3243079-3271120
829 - 5.0663447% | Entries #3271121-3299226
830 - 5.060241% | Entries #3299227-3327515
831 - 5.0541515% | Entries #3327516-3355663
832 - 5.0480766% | Entries #3355664-3384097
833 - 5.042017% | Entries #3384098-3412844
834 - 5.035971% | Entries #3412845-3441500
835 - 5.02994% | Entries #3441501-3470459
836 - 5.0239234% | Entries #3470460-3499170
837 - 5.0179214% | Entries #3499171-3528078
838 - 5.0119333% | Entries #3528079-3556682
839 - 5.0059595% | Entries #3556683-3585411
840 - 5% | Entries #3585412-3614263
841 - 4.9940543% | Entries #3614264-3643392
842 - 4.9881234% | Entries #3643393-3672298
843 - 4.9822063% | Entries #3672299-3701141
844 - 4.9763036% | Entries #3701142-3730191
845 - 4.970414% | Entries #3730192-3759563
846 - 4.964539% | Entries #3759564-3788905
847 - 4.958678% | Entries #3788906-3818345
848 - 4.9528303% | Entries #3818346-3847491
849 - 4.9469967% | Entries #3847492-3876818
850 - 4.9411764% | Entries #3876819-3906290
851 - 4.93537% | Entries #3906291-3935822
852 - 4.9295774% | Entries #3935823-3965439
853 - 4.9237986% | Entries #3965440-3994830
854 - 4.9180326% | Entries #3994831-4024488
855 - 4.9122806% | Entries #4024489-4054196
856 - 4.9065423% | Entries #4054197-4083756
857 - 4.900817% | Entries #4083757-4113037
858 - 4.895105% | Entries #4113038-4142809
859 - 4.889406% | Entries #4142810-4172725
860 - 4.883721% | Entries #4172726-4202346
861 - 4.8780484% | Entries #4202347-4232102
862 - 4.87239% | Entries #4232103-4261741
863 - 4.866744% | Entries #4261742-4291402
864 - 4.861111% | Entries #4291403-4321208
865 - 4.855491% | Entries #4321209-4350880
866 - 4.8498845% | Entries #4350881-4380749
867 - 4.8442907% | Entries #4380750-4410790
868 - 4.8387094% | Entries #4410791-4440890
869 - 4.833142% | Entries #4440891-4470681
870 - 4.827586% | Entries #4470682-4500391
871 - 4.822044% | Entries #4500392-4530426
872 - 4.816514% | Entries #4530427-4560447
873 - 4.8109965% | Entries #4560448-4590339
874 - 4.805492% | Entries #4590340-4620471
875 - 4.8% | Entries #4620472-4650699
876 - 4.7945204% | Entries #4650700-4680426
877 - 4.7890534% | Entries #4680427-4710448
878 - 4.783599% | Entries #4710449-4740557
879 - 4.778157% | Entries #4740558-4770664
880 - 4.772727% | Entries #4770665-4800422
881 - 4.7673097% | Entries #4800423-4830135
882 - 4.7619047% | Entries #4830136-4860261
883 - 4.7565117% | Entries #4860262-4890070
884 - 4.7511315% | Entries #4890071-4919681
885 - 4.745763% | Entries #4919682-4949936
886 - 4.740406% | Entries #4949937-4979490
887 - 4.735062% | Entries #4979491-5009231
888 - 4.7297297% | Entries #5009232-5038949
889 - 4.7244096% | Entries #5038950-5068796
890 - 4.7191014% | Entries #5068797-5098357
891 - 4.7138047% | Entries #5098358-5128186
892 - 4.7085204% | Entries #5128187-5157655
893 - 4.7032475% | Entries #5157656-5187328
894 - 4.6979866% | Entries #5187329-5216710
895 - 4.6927376% | Entries #5216711-5246237
896 - 4.6875% | Entries #5246238-5275602
897 - 4.6822743% | Entries #5275603-5305201
898 - 4.67706% | Entries #5305202-5334887
899 - 4.6718574% | Entries #5334888-5364339
900 - 4.6666665% | Entries #5364340-5393881
901 - 4.6614876% | Entries #5393882-5423094
902 - 4.656319% | Entries #5423095-5452185
903 - 4.6511626% | Entries #5452186-5481501
904 - 4.6460176% | Entries #5481502-5510826
905 - 4.640884% | Entries #5510827-5539776
906 - 4.6357617% | Entries #5539777-5568820
907 - 4.6306505% | Entries #5568821-5597826
908 - 4.6255507% | Entries #5597827-5626966
909 - 4.620462% | Entries #5626967-5656016
910 - 4.6153846% | Entries #5656017-5685034
911 - 4.610318% | Entries #5685035-5713748
912 - 4.605263% | Entries #5713749-5742479
913 - 4.6002192% | Entries #5742480-5771318
914 - 4.5951858% | Entries #5771319-5799996
915 - 4.5901637% | Entries #5799997-5828576
916 - 4.5851526% | Entries #5828577-5857293
917 - 4.580153% | Entries #5857294-5885860
918 - 4.5751634% | Entries #5885861-5914288
919 - 4.570185% | Entries #5914289-5942543
920 - 4.5652175% | Entries #5942544-5970746
921 - 4.5602603% | Entries #5970747-5999063
922 - 4.5553145% | Entries #5999064-6027032
923 - 4.5503793% | Entries #6027033-6054865
924 - 4.5454545% | Entries #6054866-6082633
925 - 4.5405407% | Entries #6082634-6110457
926 - 4.535637% | Entries #6110458-6138288
927 - 4.530744% | Entries #6138289-6165837
928 - 4.5258617% | Entries #6165838-6193866
929 - 4.5209904% | Entries #6193867-6221684
930 - 4.516129% | Entries #6221685-6249266
931 - 4.511278% | Entries #6249267-6276802
932 - 4.506438% | Entries #6276803-6304258
933 - 4.5016074% | Entries #6304259-6331521
934 - 4.496788% | Entries #6331522-6358708
935 - 4.4919786% | Entries #6358709-6385656
936 - 4.4871798% | Entries #6385657-6412693
937 - 4.482391% | Entries #6412694-6439478
938 - 4.477612% | Entries #6439479-6466212
939 - 4.4728436% | Entries #6466213-6492802
940 - 4.4680853% | Entries #6492803-6519838
941 - 4.463337% | Entries #6519839-6546090
942 - 4.4585986% | Entries #6546091-6572717
943 - 4.453871% | Entries #6572718-6599280
944 - 4.4491525% | Entries #6599281-6625667
945 - 4.4444447% | Entries #6625668-6651713
946 - 4.4397464% | Entries #6651714-6677736
947 - 4.435058% | Entries #6677737-6703656
948 - 4.43038% | Entries #6703657-6729612
949 - 4.425711% | Entries #6729613-6755107
950 - 4.421053% | Entries #6755108-6781060
951 - 4.416404% | Entries #6781061-6806541
952 - 4.4117646% | Entries #6806542-6831880
953 - 4.4071355% | Entries #6831881-6857017
954 - 4.402516% | Entries #6857018-6882488
955 - 4.397906% | Entries #6882489-6907727
956 - 4.3933053% | Entries #6907728-6932640
957 - 4.388715% | Entries #6932641-6957399
958 - 4.384134% | Entries #6957400-6982286
959 - 4.379562% | Entries #6982287-7007061
960 - 4.375% | Entries #7007062-7031628
961 - 4.3704476% | Entries #7031629-7056185
962 - 4.3659043% | Entries #7056186-7080472
963 - 4.3613706% | Entries #7080473-7104895
964 - 4.356847% | Entries #7104896-7129210
965 - 4.3523316% | Entries #7129211-7153159
966 - 4.347826% | Entries #7153160-7176982
967 - 4.34333% | Entries #7176983-7200770
968 - 4.338843% | Entries #7200771-7224673
969 - 4.3343654% | Entries #7224674-7247969
970 - 4.329897% | Entries #7247970-7271501
971 - 4.3254375% | Entries #7271502-7295000
972 - 4.3209877% | Entries #7295001-7318439
973 - 4.316547% | Entries #7318440-7341710
974 - 4.312115% | Entries #7341711-7364645
975 - 4.307692% | Entries #7364646-7387447
976 - 4.303279% | Entries #7387448-7409870
977 - 4.298874% | Entries #7409871-7432470
978 - 4.2944784% | Entries #7432471-7455004
979 - 4.290092% | Entries #7455005-7477497
980 - 4.2857146% | Entries #7477498-7499818
981 - 4.2813454% | Entries #7499819-7522042
982 - 4.2769856% | Entries #7522043-7543952
983 - 4.272635% | Entries #7543953-7565800
984 - 4.268293% | Entries #7565801-7587586
985 - 4.2639594% | Entries #7587587-7609202
986 - 4.259635% | Entries #7609203-7630499
987 - 4.255319% | Entries #7630500-7651949
988 - 4.2510123% | Entries #7651950-7673598
989 - 4.246714% | Entries #7673599-7694783
990 - 4.2424245% | Entries #7694784-7715688
991 - 4.238143% | Entries #7715689-7736631
992 - 4.233871% | Entries #7736632-7757661
993 - 4.2296076% | Entries #7757662-7778583
994 - 4.225352% | Entries #7778584-7798979
995 - 4.2211056% | Entries #7798980-7819627
996 - 4.2168674% | Entries #7819628-7840317
997 - 4.212638% | Entries #7840318-7860636
998 - 4.208417% | Entries #7860637-7880723
999 - 4.204204% | Entries #7880724-7900667
1000 - 4.2% | Entries #7900668-7920779
1001 - 4.195804% | Entries #7920780-7940528
1002 - 4.191617% | Entries #7940529-7960276
1003 - 4.1874375% | Entries #7960277-7979932
1004 - 4.183267% | Entries #7979933-7999313
1005 - 4.1791043% | Entries #7999314-8018479
1006 - 4.17495% | Entries #8018480-8037704
1007 - 4.1708045% | Entries #8037705-8056700
1008 - 4.166667% | Entries #8056701-8075627
1009 - 4.162537% | Entries #8075628-8094543
1010 - 4.158416% | Entries #8094544-8113232
1011 - 4.1543026% | Entries #8113233-8131623
1012 - 4.1501975% | Entries #8131624-8149927
1013 - 4.1461005% | Entries #8149928-8168167
1014 - 4.1420116% | Entries #8168168-8186100
1015 - 4.137931% | Entries #8186101-8204108
1016 - 4.133858% | Entries #8204109-8222176
1017 - 4.1297936% | Entries #8222177-8239801
1018 - 4.1257367% | Entries #8239802-8257280
1019 - 4.121688% | Entries #8257281-8274779
1020 - 4.117647% | Entries #8274780-8292381
1021 - 4.113614% | Entries #8292382-8309735
1022 - 4.109589% | Entries #8309736-8326992
1023 - 4.105572% | Entries #8326993-8344027
1024 - 4.1015625% | Entries #8344028-8360919
1025 - 4.097561% | Entries #8360920-8377821
1026 - 4.0935674% | Entries #8377822-8394417
1027 - 4.089581% | Entries #8394418-8411112
1028 - 4.0856028% | Entries #8411113-8427465
1029 - 4.0816326% | Entries #8427466-8443772
1030 - 4.07767% | Entries #8443773-8459847
1031 - 4.0737147% | Entries #8459848-8475942
1032 - 4.0697675% | Entries #8475943-8491764
1033 - 4.065828% | Entries #8491765-8507540
1034 - 4.0618954% | Entries #8507541-8523004
1035 - 4.057971% | Entries #8523005-8538931
1036 - 4.054054% | Entries #8538932-8554288
1037 - 4.0501447% | Entries #8554289-8569692
1038 - 4.0462427% | Entries #8569693-8584838
1039 - 4.0423484% | Entries #8584839-8599700
1040 - 4.0384617% | Entries #8599701-8614706
1041 - 4.034582% | Entries #8614707-8629460
1042 - 4.03071% | Entries #8629461-8644126
1043 - 4.0268455% | Entries #8644127-8658694
1044 - 4.022989% | Entries #8658695-8673122
